horario_id,deporte,dia,hora_inicio,hora_fin,cupo_maximo,cupos_ocupados,estado,precio,plan,categoria,nivel,año_min,año_max,genero
91,Fútbol,MARTES,15:30,16:50,20,0,activo,120,Estándar,2020-2021,NF,2020,2021,Mixto
92,Fútbol,MARTES,15:30,16:50,20,0,activo,120,Estándar,2008-2009-2010-2011,NF,2008,2011,Mixto
93,Fútbol,MARTES,17:00,18:20,20,0,activo,120,Estándar,2017-2016,NF,2016,2017,Mixto
94,Fútbol,MARTES,17:00,18:20,20,0,activo,120,Estándar,2017-2016,NF,2016,2017,Mixto
95,Fútbol,MARTES,17:00,18:20,20,2,activo,120,Estándar,2014-2013-2012,NF,2012,2014,Mixto
96,Fútbol,MARTES,18:30,19:50,20,0,activo,200,Premium,2009-2010-2011-2012,PC,2009,2012,Mixto
97,Fútbol,JUEVES,15:30,16:50,20,0,activo,120,Estándar,2018-2019,NF,2018,2019,Mixto
98,Fútbol,JUEVES,15:30,16:50,20,0,activo,120,Estándar,2020-2021,NF,2020,2021,Mixto
99,Fútbol,JUEVES,15:30,16:50,20,0,activo,120,Estándar,2008-2009-2010-2011,NF,2008,2011,Mixto
100,Fútbol,JUEVES,17:00,18:20,20,0,activo,120,Estándar,2017-2016,NF,2016,2017,Mixto
101,Fútbol,JUEVES,17:00,18:20,20,0,activo,120,Estándar,2017-2016,NF,2016,2017,Mixto
102,Fútbol,JUEVES,17:00,18:20,20,2,activo,120,Estándar,2014-2013-2012,NF,2012,2014,Mixto
103,Fútbol,JUEVES,18:30,19:50,20,0,activo,200,Premium,2009-2010-2011-2012,PREMIUM,2009,2012,Mixto
104,Fútbol,SABADO,8:30,9:50,20,0,activo,0,,2008-2009,,2008,2009,Mixto
105,Fútbol,SABADO,8:30,9:50,20,0,activo,120,Estándar,2010-2011,NF,2010,2011,Mixto
106,Fútbol,SABADO,8:30,9:50,20,2,activo,120,Estándar,2012-2013,NF,2012,2013,Mixto
107,Fútbol,SABADO,8:30,9:50,20,0,activo,120,Estándar,2014,NF,2014,2014,Mixto
108,Fútbol,SABADO,10:00,11:20,20,0,activo,120,Estándar,2017-2016,NF,2016,2017,Mixto
109,Fútbol,SABADO,10:00,11:20,20,0,activo,120,Estándar,2017-2016,NF,2016,2017,Mixto
110,Vóley,LUNES,14:30,16:00,20,0,activo,120,Estándar,2013-2014,BÁSICO,2013,2014,Mixto
111,Vóley,LUNES,14:30,16:00,20,0,activo,120,Estándar,2015-2016,BÁSICO,2015,2016,Mixto
112,Vóley,LUNES,16:00,17:30,20,0,activo,120,Estándar,2010-2009,BÁSICO,2009,2010,Mixto
113,Vóley,LUNES,16:00,17:30,20,0,activo,120,Estándar,2012-2011,BÁSICO,2011,2012,Mixto
114,Vóley,LUNES,17:30,19:00,20,0,activo,120,Estándar,2011-2010,AVANZADO,2010,2011,Mixto
115,Vóley,LUNES,17:30,19:00,20,0,activo,120,Estándar,2013-2012,AVANZADO,2012,2013,Mixto
116,GYM JUVENIL,LUNES,15:00,16:00,20,0,activo,100,Estándar,2005-2009,AVANZADO,2005,2009,Mixto
117,MAMAS FIT,LUNES,16:00,17:00,20,0,activo,60,,,,,,Femenino
118,Vóley,MIERCOLES,14:30,16:00,20,0,activo,120,Estándar,2013-2014,BÁSICO,2013,2014,Mixto
119,Vóley,MIERCOLES,14:30,16:00,20,0,activo,120,Estándar,2015-2016,BÁSICO,2015,2016,Mixto
120,Vóley,MIERCOLES,16:00,17:30,20,0,activo,120,Estándar,2010-2009,BÁSICO,2009,2010,Mixto
121,Vóley,MIERCOLES,16:00,17:30,20,0,activo,120,Estándar,2012-2011,BÁSICO,2011,2012,Mixto
122,Vóley,MIERCOLES,17:30,19:00,20,0,activo,120,Estándar,2011-2010,AVANZADO,2010,2011,Mixto
123,Vóley,MIERCOLES,17:30,19:00,20,0,activo,120,Estándar,2013-2012,AVANZADO,2012,2013,Mixto
124,Vóley,VIERNES,14:30,16:00,20,0,activo,120,Estándar,2013-2014,BÁSICO,2013,2014,Mixto
125,Vóley,VIERNES,14:30,16:00,20,0,activo,120,Estándar,2015-2016,BÁSICO,2015,2016,Mixto
126,Vóley,VIERNES,16:00,17:30,20,0,activo,120,Estándar,2010-2009,BÁSICO,2009,2010,Mixto
127,Vóley,VIERNES,16:00,17:30,20,0,activo,120,Estándar,2012-2011,BÁSICO,2011,2012,Mixto
128,Vóley,VIERNES,17:30,19:00,20,0,activo,120,Estándar,2011-2010,AVANZADO,2010,2011,Mixto
129,Vóley,VIERNES,17:30,19:00,20,0,activo,120,Estándar,2013-2012,AVANZADO,2012,2013,Mixto
